,GenNorm,LogNorm,T
AER,0.638245116078639,0.8372551686907667,0.27056524107399993
AERT,7.940335760965787e-06,8.398652140009811e-06,2.0889363290727965e-05
AES,2.7738181920694306e-05,0.14797881035317229,0.2664942683502277
AESI,0.9544865155189814,0.6405053791663848,0.7205298570348286
AEVA,9.396376038798447e-07,3.99944733575797e-06,9.448987361118385e-07
AEYE,0.05754962722221779,0.05895429251505746,0.12902226732474364
AEZS,0.013826149520758557,0.018800310093988415,0.02269396384105493
AFAR,2.7351554834576166e-08,2.9252753474975935e-07,2.8505613727283356e-06
AFBI,0.8757845927240342,0.008581254065867405,0.6357419698345657
AFCG,0.9800362488061098,0.2828475097392773,0.9695833736724964
AFG,0.7841242503077848,0.5433314012504309,0.5878599412065322
AFIB,0.7931963759472453,0.62535431316379,0.6181941701547775
AFJK,8.233489495869497e-09,6.996857297856625e-06,1.0890225120516488e-05
AFL,3.169777860685147e-06,0.040955050238092205,0.04108584511001767
AFMD,0.8266366541220314,0.5231065728450328,0.7687914633811025
AFRI,0.02017926145670368,0.0026279989764019795,0.027826601982830934
AFRM,0.7512141466780824,0.9960959383316953,0.8832525804399652
AFYA,0.34520434237160147,0.004758119711370745,0.9157651575949319
AG,0.5485582250795906,0.2248525440418786,0.33233193630809377
AGAE,5.274019622172633e-10,4.682372076956035e-09,1.1564939765198068e-08
AGBA,1.491243378544343e-20,4.598076480403108e-18,6.212364888919465e-35
AGCO,0.0007682122634296018,0.00542064304226253,0.0014803613583757036
AGEN,0.8632393182012956,0.6980349523531757,0.9199491190914619
AGFY,0.8247092201955655,0.27521008692355087,0.8790954644945534
AGI,0.006132448373121324,0.04487726269958803,0.07049578323288286
AGIO,0.6339864637472274,0.11513290648776664,0.5863990938392782
AGL,0.9490309337459267,0.9426894014811558,0.8546113368555334
AGM,1.1917533752892873e-19,6.73951705941157e-20,2.45819396242739e-22
AGMH,0.26021688269846355,0.22529202398609882,0.5919329925773452
AGNC,0.5218538814499856,0.21248915487573772,0.7160270811583886
AGO,0.6105757758213746,0.4732100740353944,0.8240092238345238
AGR,0.3240461138676496,0.3005585183146623,0.621249433792795
AGRI,0.5470965701070137,0.13734166450646212,0.8841528547004881
AGRO,0.9465394313231542,0.5348596667175816,0.8884595386783642
AGRX,0.9680342381649596,0.3079598191942825,0.9935339475732802
AGS,0.7209783400028709,0.6410498489935939,0.8419799504955019
AGTI,1.9654631089373506e-22,3.2668766203535852e-22,9.927651562323275e-35
AGX,2.060335419614586e-09,2.9023335399443306e-08,1.550746438715166e-08
AGYS,2.7351554834560423e-08,3.130972463640301e-06,2.5916200417098533e-05
AHCO,6.655149475384615e-12,6.10087426979105e-12,4.678741781482119e-16
AHG,0.8216749897268808,0.18822031241415105,0.9560226267075398
AHH,0.9783770920290248,0.23048947516934992,0.9611270111511448
AHI,0.6817195052848387,0.024861301150837622,0.7814690020866565
AHT,0.6610625291241774,0.2340637162277609,0.6269442272210248
AI,0.5214493535362655,0.5688117849463623,0.7465523988124445
AIB,6.655149475384615e-12,2.1366023381557357e-11,5.6027645957583937e-14
AIG,5.372667859956688e-07,0.00044457080106228994,0.028109233617927387
AIH,0.5043433861278924,0.2200339233287255,0.8149788172318443
AIHS,0.9917644798367178,0.24197564469565913,0.999750504590308
AIM,0.05092621258196295,0.032591738286278926,0.048841742704486046
AIMAU,2.5820434272022783e-25,1.5169208287054249e-12,2.6157320275410005e-18
AIMD,0.003545255091291888,0.0011393933367436215,6.989917993317704e-16
AIN,1.4846451176067116e-07,0.06307551726759053,0.05618830006132902
AINC,0.5505110499674546,0.07116593965304685,0.8535798712161166
AIP,0.9176296858546975,0.6895206648610206,0.8517849197507146
AIR,2.2577803622347784e-06,0.0796561450928579,0.12971569157566798
AIRC,0.9765447523296458,0.7476103599240804,0.974973391401151
AIRE,0.23082883419604183,0.002839874563983047,0.5553058010565567
AIRG,0.9230320416298895,0.2889466950099072,0.880129389875594
AIRI,4.715136223022292e-05,3.5225660729735284e-05,1.1664740270058872e-12
AIRS,0.653465938294767,0.7401587265874735,0.6565175449337157
AIRT,1.7624853993509986e-21,3.940659788037174e-21,5.516836231592898e-66
AISP,5.628808990362092e-05,2.3426654712344696e-06,1.4708416086604533e-05
AIT,0.0006388760928640602,0.19591061725595893,0.19301828340014648
AITR,2.998979645836343e-11,3.8976782900141723e-08,1.233866909986964e-06
AIU,0.7999956951273491,0.0688333168737616,0.8777779765346825
AIV,4.317046408148052e-06,0.008877404795717303,0.019884194439676373
AIXI,0.48823363090944505,0.07278079660661396,0.7010797292799753
AIZ,0.9873919115460007,0.9431630617387494,0.9494817497458168
AJG,6.438646606675251e-18,6.491346162429652e-09,1.9037503657178863e-17
AJX,0.6643657356238386,0.050285565278060274,0.15997574745685883
AKA,0.8522690832496851,0.9808794481351659,0.8318918887035399
AKAM,0.3183495454839941,0.5357809160344991,0.3293938015561416
AKAN,0.5430886262191237,0.011909670547562978,0.9883915396894375
AKBA,0.7514807195527096,0.13651800189998797,0.966831781930573
AKLI,0.885015728101659,0.6110756023653647,0.8735040275413595
AKR,4.0235497882091e-06,0.0021302530132880637,0.003091238099151794
AKRO,0.2003788255717105,0.6435932717355741,0.2279761885048901
AKTS,5.418411762464621e-14,5.607378750133037e-13,1.6911446657848144e-13
AKTX,0.0003355380858685522,0.01373119090728192,0.20222436919623366
AKYA,0.9965950424007859,0.6404998116562782,0.9751633723229625
AL,0.668656892371629,0.3996027245848779,0.6621846571589791
ALAR,0.003545255084980492,0.10669401310859838,0.15035254569564427
ALB,0.30205520412507625,0.14075080843849952,0.19610538857652804
ALBT,3.0237615647538514e-07,4.908293217308665e-06,7.005179542714216e-16
ALC,0.9542888695451172,0.793895230143798,0.8125846715149829
ALCC,0.045637221569407416,0.008788038354124339,0.0676267404094405
ALCE,1.2879302107630788e-10,5.573737430961096e-11,9.907936898002048e-15
ALCO,2.799652967682212e-16,1.3627799316164005e-13,3.713997584196302e-13
ALCY,1.4067140497551447e-12,1.2010980815438574e-09,1.1794823299216478e-09
ALDX,0.9547401725120707,0.7252161913777653,0.9941003754213066
ALE,9.151543838529755e-07,0.0016714383529826682,0.0038508217289225932
ALEC,0.8570210950718246,0.8283336541173748,0.8540361330580821
ALEX,0.514946741909436,2.5733815970804706e-07,0.7043250783820374
ALG,0.1412217890974784,0.1160377116274206,0.043536847799630074
ALGM,0.9224860324844802,0.9558914490790256,0.8715008827936677
ALGN,0.9202736674790191,0.1528078319425482,0.6734737915368009
ALGS,0.891710309588482,0.40178843993632174,0.8456569214057894
ALGT,0.8593346812205902,0.6146578629109541,0.5524785204840221
ALHC,0.9857446835836163,0.7335863550564048,0.8719144262812037
ALIM,0.5339098385097817,0.0840659229119397,0.6453375148113583
ALIT,0.9238654914222924,0.2535201861438421,0.8234248409925358
ALK,2.213371483018711e-05,5.328781660321966e-05,7.72901396335538e-05
ALKS,0.005346192497844293,0.2850555635353037,0.3761702196271599
ALKT,0.9009986385881478,0.3957851380080918,0.9725930953149202
ALL,0.49340388404448776,0.5115265449202183,0.47801651275680235
ALLE,0.9984643943665044,0.47991425483956984,0.946000497459465
ALLG,0.00029394604902897116,0.011652002016775409,0.4182655169195746
ALLK,0.9782968408294664,0.46578222869404806,0.9994531163486372
ALLO,0.9129322508564672,0.3535907014341083,0.837599581990474
ALLR,0.9637618629114681,0.5536732087558511,0.9847900498546348
ALLT,0.5545072569832097,0.10393957817764277,0.7798038477786893
ALLY,2.160712606207407e-05,1.141673537977507e-07,1.9606480759495467e-09
ALNT,6.438646606571942e-18,9.068300763517363e-18,1.3945493804922065e-44
ALNY,0.8594572889287584,0.5986943194416507,0.9184398636137843
ALOT,1.2879302107630788e-10,3.4464135304248065e-10,1.737595974144926e-11
ALPN,0.44121183018128385,0.3150019025280614,0.8204897098319688
ALPP,1.2879302107630788e-10,4.913671601281118e-09,9.57337488484118e-13
ALRM,0.9441397590977535,0.47068034346975385,0.9800399659212699
ALRN,0.9894461847587875,0.25805818843603356,0.9749315950396197
ALRS,1.7052698956436196e-15,4.562257109577546e-16,2.9124687005223173e-28
ALSA,9.396376038798336e-07,2.465270134981655e-06,0.00015131997496983126
ALSN,0.16454104611469367,0.22779238034956184,0.24396055397747884
ALT,0.9885179891123203,0.8672946763102687,0.9876469074406207
ALTG,5.274019622149735e-10,9.73351515461678e-10,3.293231443876302e-10
ALTI,2.9125954062595645e-07,1.2046482608757602e-05,5.2110797592255324e-08
ALTO,0.724952382860985,0.7346206601459271,0.80380727088407
ALTR,0.9877141089073522,0.9642694726934431,0.9607102679769267
ALUR,8.33070374890445e-10,0.008813906113214753,0.061599991584882385
ALV,0.8128299735438996,0.9637479738492204,0.8087937447770002
ALVO,0.5643516497062283,0.06898175524174721,0.9647711808425118
ALVR,0.9417840080788871,0.568278977652076,0.7916578391124663
ALX,7.113708527178138e-05,0.0011729574189116576,0.006272664847708165
ALXO,0.9771954938077642,0.3457493155246334,0.9945928277647105
ALZN,0.8063350796605395,0.18921279863041562,0.9771838318357723
AM,0.9813350120749267,0.7315302092393421,0.9942146133365238
AMAL,0.6933084443716322,0.11348471473106092,0.7671236154397484
AMAT,4.73628643460469e-08,0.08537345979725963,0.18850543655329532
AMBA,0.8574351386631731,0.6296787732700689,0.8341378435947217
AMBC,0.7486194347978963,0.6029759203939868,0.9592155742100872
AMBI,0.0914733050103923,0.08561800447322687,0.2896210652764092
AMBO,0.26453369343095023,0.008379745296716812,0.8247635614845763
AMBP,0.8700450343268562,0.9022449849287453,0.8575503434200129
AMC,0.8057826869276882,0.38332467962458094,0.6484990686141614
AMCR,1.9654631089630658e-22,4.068163064518509e-22,1.533247253123792e-40
AMCX,0.8922247832431294,0.2376100247233527,0.9923882631624616
AMD,0.8627959152414684,0.8784979704377435,0.9152635608510686
AME,0.1863187319282963,0.14874048139977025,0.20821377973135335
AMED,1.2622574141149915e-30,1.0405963497404812e-15,1.7994599539999835e-25
AMG,0.5882811095069902,0.5062599779027849,0.5332372794980125
AMGN,9.302730350897848e-08,9.934860722427326e-05,3.985827474129342e-05
AMH,0.9419361792291443,0.28193395619990336,0.9388889280379388
AMK,0.9163627562857305,0.7002955519629581,0.7167279805863345
AMKR,0.8984611126172157,0.26675443935108134,0.8080609438880615
AMLI,2.4904830358812445e-05,0.0012074935896354555,1.4215351764624816e-11
AMLX,0.9205610610249862,0.733934917716619,0.9902314009789643
AMN,0.8812989351836313,0.16222866572507288,0.9580893192263823
AMP,0.7106551986061616,0.6670259155266761,0.7962234799256318
AMPE,2.0657964929524484e-23,5.432964526064491e-27,1.925504610839393e-75
AMPG,0.3736666545493972,0.01312948879123288,0.7717340035882794
AMPH,0.8377327330015665,0.05976745896105351,0.5892549491697001
AMPL,0.48889556050188177,0.002104675200752859,0.8847755103007995
AMPS,0.7618165727591713,0.04392924276517285,0.7776796409170723
AMPX,0.32621595435008677,0.016194042350778037,0.9833440096606435
AMPY,0.25388495797958566,0.11499911075471037,0.37637335983469034
AMR,0.8959200511623543,0.44854898808623733,0.8737950816412565
AMRC,0.9461942980324951,0.5213411933969754,0.9388662183970146
AMRK,0.7640969266295834,0.06022517731677435,0.6243736086235517
AMRN,3.0237615647538514e-07,0.0002747001252459059,0.0007978863934356983
AMRX,0.8065269304539389,0.6826052180645554,0.9932108733937595
AMS,2.060335418866259e-09,7.4808598270643e-08,7.792480474877279e-17
AMSC,0.4274993883267644,0.31467066806927757,0.63484018929206
AMSF,0.9055993300725955,0.16169853103051934,0.927483278373798
AMST,0.8986084732990225,0.09679872713648274,0.9639833988000255
AMSWA,0.013826149517051967,0.002302814939152409,0.021852962316025626
AMT,0.8660808492875146,0.4916476443051253,0.9380364434615202
AMTB,0.14266096764253633,0.013378493994636531,0.7401678006785517
AMTD,0.04563722157492589,0.004960971126251268,0.2545561153254803
AMTX,0.0003048323574940376,0.16512019432356406,0.1522471732194305
AMWD,0.003929681817775865,0.005529922380071106,0.003261783802163132
AMWL,0.8983590414129862,0.4257303467757294,0.6983571824665558
AMX,0.8643939290261684,0.6281494131503331,0.8841372871294302
AMZN,0.6249578059466229,0.28644293158664047,0.662668600808314
AN,0.023620173384295118,0.1505029400375939,0.3760103960433233
ANAB,0.4679425852831747,0.03273269456289585,0.9928934950885766
ANDE,8.693966466691358e-05,0.002782853208008196,0.007836851329169114
ANEB,0.013581732621437137,0.3137343655762971,0.5296145923577087
ANET,0.970105493356894,0.5422202647046757,0.9775646002797989
ANF,0.8902191189357097,0.01503017501525683,0.7977367814879535
ANGH,0.0005602424571676812,0.007749764434123452,0.01310162025671835
ANGI,0.7841210207355909,0.7453366339200962,0.8485947740504226
ANGO,0.8661374343901501,0.6534115267084946,0.7056891908594034
ANIK,3.69392328546707e-05,0.0006813811054571239,0.0004706993273471374
ANIP,0.0016855812357868816,0.002694682332059828,0.0035846917757542673
ANIX,0.0006466656263935944,0.017161353255610523,0.020463742817292796
ANL,0.0034084027232071934,0.14249438825663296,0.19915762981117024
ANNX,0.9728735397560214,0.6287591822714997,0.9882841551338483
ANSC,7.650002936677298e-08,5.92347767874371e-05,0.0004444621862215828
ANSS,0.4041966281002338,0.11178725833904846,0.43721901199601343
ANTE,0.9814187434690321,0.9704523192289726,0.9815861059902373
ANTX,0.4284224924141735,0.021658357350931134,0.8811436704824067
ANVS,0.995731971878712,0.2937813104839153,0.9903274388556095
ANY,0.802759992744908,0.23900270779519295,0.6541329237027952
AOGO,1.287930210763038e-10,7.146576540521286e-09,5.344148814441449e-09
AOMR,0.8812574844236074,0.43232995608031677,0.6220254334978939
AON,0.015064789750461771,0.021107212993865643,0.012114088150147917
AONC,0.5552548821086781,0.1694133552150049,0.753020408107787
AORT,9.423814957858217e-05,0.006488777154489478,0.007132484871871347
AOS,3.625879145689794e-06,0.010850289036384186,0.27145286214012254
AOSL,0.693594717139856,0.1168125937734188,0.790830677504455
AOUT,0.994272626671503,0.7183495682394099,0.9771227672263922
AP,3.423221676231786e-05,0.000200996667232079,0.0010052829154372223
APA,0.6884874069664749,0.6876323041221459,0.765401961053848
APAM,0.8270541575405622,0.2631417620410854,0.7612365432657315
APCA,2.7351554834571666e-08,2.345355519138412e-08,6.171673505697762e-08
APCX,5.418411762416987e-14,3.527280257235103e-14,1.4189884459079342e-23
APD,0.7892551298717594,0.606880860031137,0.6852982764164735
APDN,0.004163749771964542,0.037589995156624756,0.029990222664406208
APEI,0.872622291461282,0.7007428844400259,0.8699774137781041
APG,0.8194896052907744,0.9162965407136253,0.6527130822401308
APGE,0.847474960705878,0.7290697981418301,0.9692303947104973
APH,0.0803010087505609,0.10094365418284723,0.082432362611227
API,0.9683609881673453,0.9678240044751034,0.8635629729446666
APLD,0.38517774825284357,0.03417238749984386,0.9962669500924788
APLE,0.9788932218712516,0.5098641685740077,0.9907805073048307
APLM,6.655149475384615e-12,1.1233792000093626e-11,8.042908763876364e-10
APLS,0.5532193530339102,0.5897344908790825,0.6798152999882079
APLT,0.7416594858707233,0.3965175957824788,0.7886430353419188
APM,0.5562502134297909,0.020071782641539082,0.4281249927937688
APO,0.8610577650398554,0.13140565168029417,0.9206180815035218
APOG,9.861564836612097e-15,6.7082803950617956e-15,5.126866856553796e-22
APP,0.9938189388101375,0.5087160378295288,0.9015339930864561
APPF,0.9759594897129348,0.4690640008744217,0.9914513911013596
APPN,0.7567057909574165,0.21552640839609316,0.9679147004027645
APPS,2.7351554834571666e-08,3.7289146580710283e-07,1.2605853467944045e-11
APRE,0.9280238428582989,0.620095664464004,0.9805530080602674
APT,0.00026391470171218166,0.07851679217013008,0.1306586831302633
APTO,6.4386466065718745e-18,8.806458044612823e-18,2.1187164952456093e-41
APTV,0.8843729518624946,0.7234746906682192,0.9466735855187636
APVO,0.3020551427304722,0.08604604531807358,0.908973864546778
APWC,0.045637221630316915,0.023104644395340435,0.0513426703000921
APXI,1.1232554967035712e-09,6.676835809475557e-10,6.501507595268898e-09
APYX,0.8502901226139767,0.003161931258747974,0.9698548022968779
AQB,0.23021972510276423,0.001403237153664194,0.930356741275209
AQMS,0.8152335886798364,0.1779780278349642,0.7628576573819128
AQN,0.7984041809700131,0.9829970308435079,0.8175149827862092
AQST,0.9805111049526145,0.016700332693033837,0.9147331265841797
AQU,6.655149475356312e-12,5.754914413593745e-09,3.11045674675357e-09
AR,0.9263781088763156,0.7748706099088561,0.8137523312327336
ARAY,0.8448048740113026,0.6965645224597148,0.9514486967584626
ARBB,0.4753128271433107,0.2622492958237329,0.6436563771613562
ARBE,0.059195984014605685,0.15974072584916021,0.22333592070606345
ARBK,0.18377437740534242,0.25677331339881293,0.2823684279751616
ARC,0.9194054594494504,0.39416656206882306,0.9668676156824754
ARCB,0.14906281470810379,0.06160229434794173,0.19085726490670973
ARCC,0.9960973513732967,0.797757836212365,0.9944498281191266
ARCH,0.9575129723483392,0.401184466343954,0.9317904897094114
ARCO,0.5215077743361576,0.5561395734371575,0.7850767494793454
ARCT,0.34723674475037436,0.033023123973339175,0.3803202855658776
ARDX,0.9259903512944763,0.5129608389297775,0.9392590944067459
ARE,0.007579313037468394,0.026268724661197673,0.08093118497125218
AREB,0.9005694710722967,0.311339654537756,0.8536824689209779
AREC,2.0657964927945683e-23,2.641306363458532e-26,1.2674184551894195e-40
AREN,1.2879302107631406e-10,5.632171984200922e-10,7.439238210237811e-15
ARES,0.9073115998042256,0.29031658185451503,0.7830660996987764
ARGX,0.7876541389444577,0.40815628335081267,0.7515724797294021
ARHS,0.8693354932614794,0.5108804330619681,0.7071669193841676
ARI,0.6416604773604724,0.9585964357310685,0.6761206555613322
ARIS,0.9452332469224722,0.24223889393963915,0.9684002598086403
ARKO,9.396376038798508e-07,8.511633937492791e-16,1.2106711826614263e-09
ARKR,0.010491378728244904,0.15526328138230006,0.17376598825750822
ARL,6.642633820333069e-08,7.452514415805467e-05,7.734156964552482e-05
ARLO,0.857086939381944,0.6597324204256303,0.9973883233106903
ARLP,0.7416278833615617,0.7345442975923357,0.7420523226055851
ARM,0.2910209611235758,0.643897737846477,0.3355628563919004
ARMK,0.9684440892301991,0.666389759065002,0.9215185810429247
ARMN,0.5938962769611913,0.4296402235768707,0.6116360007159576
ARMP,7.681760284925762e-09,2.4646199289602284e-08,2.3043153616741943e-09
AROC,0.8097633722116929,0.7864359625178534,0.820965697671417
AROW,4.622862141991618e-44,2.2520159666497236e-21,5.764379341875664e-54
ARQQ,0.0012438760005629712,6.5760394363717345e-06,0.0993706333714095
ARQT,0.848690393190822,0.05355406895935655,0.6821291508776453
ARR,0.0003355380858685536,0.0002054642895090665,0.0001594941123837486
ARRY,0.975415892726176,0.7742495983657844,0.9891492404123134
ARTL,0.8993182009491262,0.32648624284703853,0.8369615372245959
ARTNA,1.4912433785651984e-20,4.576326430196281e-19,6.3953235328708504e-21
ARTW,2.7351554837529673e-08,8.332583483287275e-11,2.4680940411096575e-14
ARVN,0.8957454524470888,0.6973365175209552,0.9455572001190219
ARW,0.6972974649212565,0.7094456715334956,0.6445137100388874
ARWR,9.861564836612097e-15,8.339023640281481e-14,1.4663609230907365e-13
ARYD,0.0794430783169835,0.26146086973216465,0.5771200726912568
ASA,3.424540617764417e-06,0.07819996811129093,0.017372747284111534
ASAI,0.995032685978152,0.8183584860102675,0.8876987004015912
ASAN,0.8408509976214849,0.46610647086602974,0.9186410397050939
ASB,1.7624853993527764e-21,1.1423917384738693e-17,9.282059753435749e-24
ASC,0.832883482528207,0.3371540813862408,0.9971595441330166
ASCB,2.1607126063166133e-05,0.00044392021755957733,0.000755149094637253
ASGN,0.05298584640375703,0.11651385984385965,0.04470953995121019
ASH,0.07693857409361027,0.07850513329104547,0.6232885706860293
ASIX,0.9620810990418718,0.553538960029832,0.9856443175514821
ASLE,1.846630196550705e-11,1.79518980498131e-09,1.4641120560588117e-08
ASLN,0.5890840664741686,0.17827559621908717,0.7107732577098016
ASM,0.9727074314621007,0.5046953694462314,0.8828199685439995
ASMB,0.6216343581163715,0.20988284567674875,0.8119183016712811
